,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"filtered_prob[267, 1]",0.53,0.191,0.185,0.88,0.005,0.003,1278.0,1525.0,1.0
"filtered_prob[267, 2]",0.178,0.14,0.0,0.431,0.004,0.002,1307.0,1413.0,1.0
"filtered_prob[268, 0]",0.951,0.056,0.853,1.0,0.001,0.002,1617.0,2169.0,1.0
"filtered_prob[268, 1]",0.046,0.056,0.0,0.144,0.001,0.002,1410.0,1888.0,1.0
"filtered_prob[268, 2]",0.003,0.007,0.0,0.012,0.0,0.001,1172.0,1600.0,1.0
"filtered_prob[269, 0]",0.082,0.089,0.0,0.252,0.002,0.003,1248.0,1815.0,1.0
"filtered_prob[269, 1]",0.271,0.263,0.0,0.847,0.017,0.013,322.0,513.0,1.0
"filtered_prob[269, 2]",0.647,0.263,0.064,0.958,0.016,0.012,417.0,677.0,1.0
"filtered_prob[270, 0]",0.759,0.151,0.478,0.985,0.004,0.003,1297.0,2115.0,1.0
"filtered_prob[270, 1]",0.2,0.139,0.005,0.455,0.004,0.004,1517.0,2001.0,1.0
"filtered_prob[270, 2]",0.041,0.054,0.0,0.144,0.001,0.002,1482.0,1494.0,1.0
"filtered_prob[271, 0]",0.078,0.077,0.0,0.223,0.002,0.002,1246.0,1787.0,1.0
"filtered_prob[271, 1]",0.323,0.25,0.0,0.832,0.015,0.009,343.0,775.0,1.0
"filtered_prob[271, 2]",0.599,0.248,0.048,0.899,0.014,0.009,437.0,643.0,1.0
"filtered_prob[272, 0]",0.991,0.024,0.968,1.0,0.001,0.003,1769.0,1442.0,1.0
"filtered_prob[272, 1]",0.008,0.024,0.0,0.03,0.001,0.003,1727.0,1941.0,1.0
"filtered_prob[272, 2]",0.001,0.003,0.0,0.002,0.0,0.001,911.0,1279.0,1.0
"filtered_prob[273, 0]",0.354,0.127,0.123,0.589,0.004,0.003,1204.0,1625.0,1.0
"filtered_prob[273, 1]",0.277,0.202,0.021,0.678,0.011,0.006,481.0,1115.0,1.0
"filtered_prob[273, 2]",0.369,0.182,0.001,0.618,0.008,0.005,545.0,632.0,1.0
"filtered_prob[274, 0]",0.076,0.085,0.0,0.234,0.002,0.003,1183.0,1576.0,1.0
"filtered_prob[274, 1]",0.291,0.231,0.0,0.754,0.014,0.009,332.0,606.0,1.0
"filtered_prob[274, 2]",0.633,0.227,0.154,0.956,0.013,0.009,409.0,612.0,1.0
"filtered_prob[275, 0]",0.262,0.103,0.069,0.449,0.003,0.002,1149.0,1883.0,1.0
"filtered_prob[275, 1]",0.338,0.159,0.073,0.634,0.007,0.003,601.0,1048.0,1.0
"filtered_prob[275, 2]",0.4,0.133,0.116,0.619,0.005,0.004,754.0,713.0,1.0
"filtered_prob[276, 0]",0.317,0.159,0.026,0.595,0.004,0.002,1278.0,1963.0,1.0
"filtered_prob[276, 1]",0.481,0.176,0.164,0.815,0.005,0.003,1232.0,1510.0,1.0
"filtered_prob[276, 2]",0.202,0.143,0.0,0.455,0.004,0.002,1409.0,1447.0,1.0
"filtered_prob[277, 0]",0.056,0.06,0.0,0.164,0.002,0.002,1239.0,1750.0,1.0
"filtered_prob[277, 1]",0.362,0.22,0.0,0.758,0.011,0.004,426.0,1150.0,1.0
"filtered_prob[277, 2]",0.582,0.215,0.16,0.936,0.01,0.005,499.0,942.0,1.0
"filtered_prob[278, 0]",0.112,0.084,0.0,0.265,0.002,0.002,1180.0,1829.0,1.0
"filtered_prob[278, 1]",0.441,0.2,0.112,0.829,0.007,0.003,748.0,1320.0,1.0
"filtered_prob[278, 2]",0.447,0.194,0.059,0.773,0.006,0.003,960.0,1315.0,1.0
"filtered_prob[279, 0]",0.38,0.179,0.06,0.705,0.005,0.003,1397.0,2000.0,1.0
"filtered_prob[279, 1]",0.479,0.183,0.156,0.835,0.005,0.003,1440.0,1633.0,1.0
"filtered_prob[279, 2]",0.141,0.125,0.0,0.371,0.003,0.003,1484.0,1481.0,1.0
"filtered_prob[280, 0]",0.195,0.133,0.0,0.436,0.004,0.003,1368.0,2037.0,1.0
"filtered_prob[280, 1]",0.565,0.183,0.237,0.904,0.005,0.002,1335.0,1453.0,1.0
"filtered_prob[280, 2]",0.24,0.159,0.0,0.508,0.004,0.002,1281.0,1421.0,1.0
"filtered_prob[281, 0]",0.53,0.196,0.209,0.917,0.005,0.003,1424.0,1611.0,1.0
"filtered_prob[281, 1]",0.41,0.194,0.068,0.755,0.006,0.003,1053.0,1492.0,1.0
"filtered_prob[281, 2]",0.06,0.076,0.0,0.201,0.002,0.003,1325.0,1477.0,1.0
"filtered_prob[282, 0]",0.079,0.075,0.0,0.215,0.002,0.002,1315.0,1848.0,1.0
"filtered_prob[282, 1]",0.433,0.223,0.091,0.874,0.011,0.004,502.0,1138.0,1.0
"filtered_prob[282, 2]",0.488,0.219,0.039,0.81,0.01,0.005,533.0,978.0,1.0
"filtered_prob[283, 0]",0.065,0.061,0.0,0.175,0.002,0.002,1205.0,1727.0,1.0
"filtered_prob[283, 1]",0.37,0.211,0.045,0.79,0.011,0.004,436.0,1150.0,1.0
"filtered_prob[283, 2]",0.565,0.205,0.154,0.904,0.01,0.005,531.0,1027.0,1.0
"filtered_prob[284, 0]",0.894,0.091,0.736,1.0,0.002,0.003,1790.0,2165.0,1.0
"filtered_prob[284, 1]",0.095,0.088,0.0,0.249,0.002,0.003,1657.0,2216.0,1.0
"filtered_prob[284, 2]",0.011,0.023,0.0,0.043,0.001,0.002,833.0,719.0,1.0
"filtered_prob[285, 0]",0.191,0.132,0.0,0.433,0.004,0.003,1258.0,1962.0,1.0
"filtered_prob[285, 1]",0.402,0.234,0.058,0.842,0.011,0.005,535.0,1296.0,1.0
"filtered_prob[285, 2]",0.407,0.225,0.0,0.722,0.009,0.003,621.0,1165.0,1.0
"filtered_prob[286, 0]",0.581,0.185,0.233,0.901,0.005,0.003,1434.0,2058.0,1.0
"filtered_prob[286, 1]",0.348,0.177,0.035,0.666,0.005,0.003,1405.0,1517.0,1.0
"filtered_prob[286, 2]",0.072,0.079,0.0,0.223,0.002,0.003,1438.0,1460.0,1.0
"filtered_prob[287, 0]",0.987,0.026,0.953,1.0,0.001,0.002,1784.0,1711.0,1.0
"filtered_prob[287, 1]",0.012,0.026,0.0,0.047,0.001,0.002,1671.0,1693.0,1.0
"filtered_prob[287, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1118.0,1526.0,1.0
"filtered_prob[288, 0]",0.939,0.056,0.844,1.0,0.001,0.002,1317.0,2191.0,1.0
"filtered_prob[288, 1]",0.053,0.054,0.0,0.144,0.001,0.002,1554.0,1912.0,1.0
"filtered_prob[288, 2]",0.009,0.015,0.0,0.033,0.0,0.001,1549.0,1637.0,1.0
"filtered_prob[289, 0]",0.994,0.013,0.981,1.0,0.0,0.001,1793.0,1570.0,1.0
"filtered_prob[289, 1]",0.005,0.013,0.0,0.018,0.0,0.001,1889.0,1606.0,1.0
"filtered_prob[289, 2]",0.0,0.001,0.0,0.002,0.0,0.0,1382.0,1832.0,1.0
"filtered_prob[290, 0]",0.089,0.103,0.0,0.283,0.003,0.004,1231.0,1632.0,1.0
"filtered_prob[290, 1]",0.252,0.269,0.0,0.849,0.017,0.013,333.0,535.0,1.0
"filtered_prob[290, 2]",0.659,0.272,0.063,0.972,0.016,0.013,435.0,454.0,1.0
"filtered_prob[291, 0]",0.069,0.077,0.0,0.206,0.002,0.003,1173.0,1605.0,1.0
"filtered_prob[291, 1]",0.262,0.22,0.0,0.714,0.013,0.009,350.0,636.0,1.0
"filtered_prob[291, 2]",0.67,0.218,0.197,0.97,0.012,0.009,438.0,583.0,1.0
"filtered_prob[292, 0]",0.058,0.054,0.0,0.155,0.002,0.002,1191.0,1468.0,1.0
"filtered_prob[292, 1]",0.268,0.204,0.0,0.681,0.012,0.008,394.0,698.0,1.0
"filtered_prob[292, 2]",0.674,0.202,0.247,0.967,0.011,0.008,487.0,686.0,1.0
"filtered_prob[293, 0]",0.91,0.085,0.765,1.0,0.002,0.003,1980.0,2068.0,1.0
"filtered_prob[293, 1]",0.079,0.082,0.0,0.217,0.002,0.003,1946.0,2111.0,1.0
"filtered_prob[293, 2]",0.012,0.023,0.0,0.047,0.001,0.002,790.0,939.0,1.0
"filtered_prob[294, 0]",0.154,0.117,0.0,0.375,0.003,0.003,1313.0,1886.0,1.0
"filtered_prob[294, 1]",0.367,0.248,0.051,0.862,0.013,0.007,492.0,1209.0,1.0
"filtered_prob[294, 2]",0.479,0.244,0.0,0.788,0.011,0.005,551.0,1088.0,1.0
"filtered_prob[295, 0]",0.859,0.109,0.666,0.996,0.002,0.003,1797.0,2177.0,1.0
"filtered_prob[295, 1]",0.125,0.104,0.001,0.313,0.002,0.003,1763.0,2105.0,1.0
"filtered_prob[295, 2]",0.016,0.028,0.0,0.061,0.001,0.002,1394.0,1565.0,1.0
"filtered_prob[296, 0]",0.096,0.09,0.0,0.261,0.003,0.003,1280.0,1611.0,1.0
"filtered_prob[296, 1]",0.33,0.257,0.008,0.86,0.016,0.009,371.0,814.0,1.0
"filtered_prob[296, 2]",0.574,0.255,0.035,0.89,0.014,0.009,481.0,870.0,1.0
"filtered_prob[297, 0]",0.13,0.097,0.0,0.306,0.003,0.002,1247.0,1702.0,1.0
"filtered_prob[297, 1]",0.42,0.218,0.086,0.837,0.01,0.004,593.0,1290.0,1.0
"filtered_prob[297, 2]",0.45,0.215,0.0,0.735,0.009,0.004,696.0,1307.0,1.0
"filtered_prob[298, 0]",0.765,0.142,0.512,0.991,0.003,0.003,1677.0,2289.0,1.0
"filtered_prob[298, 1]",0.204,0.135,0.002,0.44,0.003,0.003,1582.0,1983.0,1.0
"filtered_prob[298, 2]",0.031,0.046,0.0,0.11,0.001,0.002,1391.0,1431.0,1.0
"filtered_prob[299, 0]",0.124,0.076,0.008,0.261,0.002,0.002,2046.0,1853.0,1.0
"filtered_prob[299, 1]",0.701,0.131,0.454,0.925,0.004,0.003,1310.0,2009.0,1.0
"filtered_prob[299, 2]",0.175,0.115,0.006,0.384,0.004,0.003,1031.0,1487.0,1.0
"filtered_prob[300, 0]",0.249,0.09,0.091,0.422,0.003,0.002,1248.0,1694.0,1.0
"filtered_prob[300, 1]",0.487,0.109,0.288,0.694,0.003,0.001,1821.0,2412.0,1.0
"filtered_prob[300, 2]",0.264,0.102,0.077,0.448,0.002,0.002,1663.0,1702.0,1.0
"filtered_prob[301, 0]",0.098,0.069,0.001,0.221,0.002,0.002,1314.0,1803.0,1.0
"filtered_prob[301, 1]",0.478,0.154,0.21,0.762,0.006,0.002,738.0,1630.0,1.0
"filtered_prob[301, 2]",0.424,0.147,0.167,0.708,0.005,0.002,820.0,1316.0,1.0
"filtered_prob[302, 0]",0.977,0.038,0.919,1.0,0.001,0.003,1673.0,1675.0,1.0
"filtered_prob[302, 1]",0.021,0.038,0.0,0.08,0.001,0.003,1478.0,1661.0,1.0
"filtered_prob[302, 2]",0.001,0.005,0.0,0.006,0.0,0.0,730.0,665.0,1.0
"filtered_prob[303, 0]",0.395,0.118,0.181,0.622,0.003,0.002,1273.0,1799.0,1.0
"filtered_prob[303, 1]",0.267,0.185,0.025,0.633,0.01,0.006,430.0,1042.0,1.0
"filtered_prob[303, 2]",0.338,0.167,0.003,0.569,0.008,0.004,529.0,558.0,1.0
"filtered_prob[304, 0]",0.906,0.079,0.764,0.999,0.002,0.002,1892.0,1946.0,1.0
"filtered_prob[304, 1]",0.083,0.074,0.0,0.216,0.002,0.002,2022.0,2170.0,1.0
"filtered_prob[304, 2]",0.011,0.019,0.0,0.041,0.0,0.001,1302.0,1696.0,1.0
"filtered_prob[305, 0]",0.992,0.017,0.971,1.0,0.0,0.001,1810.0,1393.0,1.0
"filtered_prob[305, 1]",0.008,0.017,0.0,0.028,0.0,0.001,1866.0,1688.0,1.0
"filtered_prob[305, 2]",0.001,0.001,0.0,0.002,0.0,0.0,1326.0,1840.0,1.0
"filtered_prob[306, 0]",0.168,0.123,0.004,0.4,0.004,0.004,1222.0,1497.0,1.0
"filtered_prob[306, 1]",0.314,0.252,0.007,0.822,0.015,0.009,436.0,852.0,1.0
"filtered_prob[306, 2]",0.518,0.244,0.002,0.818,0.012,0.008,489.0,580.0,1.0
"filtered_prob[307, 0]",0.178,0.125,0.003,0.415,0.004,0.003,1274.0,1284.0,1.0
"filtered_prob[307, 1]",0.447,0.225,0.099,0.858,0.009,0.003,641.0,1565.0,1.0
"filtered_prob[307, 2]",0.375,0.222,0.0,0.717,0.009,0.003,668.0,1591.0,1.0
"filtered_prob[308, 0]",0.399,0.168,0.102,0.706,0.004,0.002,1601.0,2112.0,1.0
"filtered_prob[308, 1]",0.461,0.178,0.141,0.792,0.005,0.003,1439.0,1653.0,1.0
"filtered_prob[308, 2]",0.14,0.13,0.0,0.382,0.004,0.002,1109.0,1469.0,1.0
"filtered_prob[309, 0]",0.111,0.095,0.0,0.28,0.003,0.003,1290.0,1663.0,1.0
"filtered_prob[309, 1]",0.503,0.216,0.144,0.891,0.009,0.003,655.0,1700.0,1.0
"filtered_prob[309, 2]",0.386,0.213,0.0,0.701,0.009,0.003,641.0,1628.0,1.0
"filtered_prob[310, 0]",0.919,0.072,0.788,1.0,0.002,0.002,1741.0,1948.0,1.0
"filtered_prob[310, 1]",0.075,0.071,0.0,0.205,0.002,0.002,1580.0,2232.0,1.0
"filtered_prob[310, 2]",0.006,0.012,0.0,0.025,0.0,0.001,1109.0,1692.0,1.0
"filtered_prob[311, 0]",0.946,0.055,0.848,1.0,0.001,0.002,1823.0,1716.0,1.0
"filtered_prob[311, 1]",0.048,0.053,0.0,0.142,0.001,0.002,1981.0,1838.0,1.0
"filtered_prob[311, 2]",0.006,0.011,0.0,0.023,0.0,0.001,1358.0,1730.0,1.0
"filtered_prob[312, 0]",0.99,0.018,0.966,1.0,0.0,0.001,1792.0,1572.0,1.0
"filtered_prob[312, 1]",0.009,0.018,0.0,0.033,0.0,0.001,1887.0,1770.0,1.0
"filtered_prob[312, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1387.0,1751.0,1.0
"filtered_prob[313, 0]",0.993,0.013,0.976,1.0,0.0,0.001,1773.0,1479.0,1.0
"filtered_prob[313, 1]",0.007,0.013,0.0,0.023,0.0,0.001,1925.0,1806.0,1.0
"filtered_prob[313, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1393.0,1793.0,1.0
"filtered_prob[314, 0]",0.175,0.138,0.001,0.439,0.004,0.004,1196.0,1388.0,1.0
"filtered_prob[314, 1]",0.35,0.272,0.013,0.87,0.014,0.007,493.0,1166.0,1.0
"filtered_prob[314, 2]",0.476,0.271,0.0,0.836,0.012,0.005,515.0,1107.0,1.0
"filtered_prob[315, 0]",0.099,0.084,0.0,0.254,0.002,0.003,1194.0,1295.0,1.0
"filtered_prob[315, 1]",0.366,0.224,0.056,0.818,0.012,0.006,465.0,1056.0,1.0
"filtered_prob[315, 2]",0.534,0.216,0.091,0.845,0.011,0.007,500.0,978.0,1.0
"filtered_prob[316, 0]",0.168,0.11,0.001,0.358,0.003,0.002,1290.0,1750.0,1.0
"filtered_prob[316, 1]",0.477,0.21,0.139,0.87,0.008,0.003,739.0,1552.0,1.0
"filtered_prob[316, 2]",0.355,0.208,0.0,0.68,0.008,0.002,776.0,1549.0,1.0
"filtered_prob[317, 0]",0.062,0.064,0.0,0.177,0.002,0.002,1242.0,1734.0,1.0
"filtered_prob[317, 1]",0.359,0.212,0.0,0.737,0.01,0.004,444.0,1016.0,1.0
"filtered_prob[317, 2]",0.58,0.206,0.175,0.917,0.009,0.004,539.0,1078.0,1.0
"filtered_prob[318, 0]",0.535,0.177,0.21,0.858,0.004,0.002,1768.0,2068.0,1.0
"filtered_prob[318, 1]",0.363,0.164,0.075,0.672,0.004,0.002,1915.0,2154.0,1.0
"filtered_prob[318, 2]",0.102,0.104,0.0,0.296,0.003,0.002,1157.0,1615.0,1.0
"filtered_prob[319, 0]",0.296,0.17,0.018,0.601,0.005,0.003,1431.0,1645.0,1.0
"filtered_prob[319, 1]",0.508,0.182,0.198,0.872,0.005,0.003,1321.0,1477.0,1.0
"filtered_prob[319, 2]",0.196,0.154,0.0,0.459,0.005,0.002,950.0,1451.0,1.0
"filtered_prob[320, 0]",0.932,0.072,0.8,1.0,0.002,0.002,1590.0,1710.0,1.0
"filtered_prob[320, 1]",0.064,0.071,0.0,0.195,0.002,0.002,1443.0,1763.0,1.0
"filtered_prob[320, 2]",0.004,0.009,0.0,0.018,0.0,0.001,1102.0,1630.0,1.0
"filtered_prob[321, 0]",0.294,0.18,0.009,0.635,0.005,0.004,1225.0,1415.0,1.0
"filtered_prob[321, 1]",0.405,0.229,0.061,0.825,0.01,0.004,625.0,1299.0,1.0
"filtered_prob[321, 2]",0.3,0.22,0.0,0.66,0.009,0.002,654.0,1557.0,1.0
"filtered_prob[322, 0]",0.25,0.116,0.058,0.465,0.003,0.002,1305.0,1689.0,1.0
"filtered_prob[322, 1]",0.403,0.18,0.115,0.754,0.008,0.003,616.0,1320.0,1.0
"filtered_prob[322, 2]",0.347,0.156,0.037,0.585,0.007,0.003,587.0,1063.0,1.0
"filtered_prob[323, 0]",0.076,0.072,0.0,0.202,0.002,0.002,1227.0,1598.0,1.0
"filtered_prob[323, 1]",0.374,0.212,0.025,0.776,0.012,0.005,368.0,1001.0,1.0
"filtered_prob[323, 2]",0.55,0.204,0.115,0.848,0.01,0.006,464.0,882.0,1.0
"filtered_prob[324, 0]",0.515,0.18,0.196,0.848,0.004,0.002,1625.0,1876.0,1.0
"filtered_prob[324, 1]",0.38,0.164,0.094,0.683,0.004,0.002,1759.0,2160.0,1.0
"filtered_prob[324, 2]",0.105,0.106,0.0,0.293,0.003,0.002,1224.0,1638.0,1.0
"filtered_prob[325, 0]",0.118,0.095,0.001,0.29,0.003,0.003,1279.0,1575.0,1.0
"filtered_prob[325, 1]",0.44,0.198,0.121,0.811,0.009,0.004,541.0,1388.0,1.0
"filtered_prob[325, 2]",0.442,0.185,0.079,0.736,0.008,0.004,582.0,924.0,1.0
"filtered_prob[326, 0]",0.897,0.091,0.728,1.0,0.002,0.002,1809.0,1995.0,1.0
"filtered_prob[326, 1]",0.093,0.089,0.0,0.259,0.002,0.002,1622.0,2268.0,1.0
"filtered_prob[326, 2]",0.009,0.018,0.0,0.038,0.0,0.001,1088.0,1761.0,1.0
"filtered_prob[327, 0]",0.981,0.03,0.937,1.0,0.001,0.002,1773.0,1629.0,1.0
"filtered_prob[327, 1]",0.018,0.03,0.0,0.063,0.001,0.002,1842.0,1828.0,1.0
"filtered_prob[327, 2]",0.001,0.003,0.0,0.006,0.0,0.0,1328.0,1690.0,1.0
"filtered_prob[328, 0]",0.976,0.029,0.927,1.0,0.001,0.001,1800.0,1558.0,1.0
"filtered_prob[328, 1]",0.022,0.028,0.0,0.068,0.001,0.001,1985.0,1720.0,1.0
"filtered_prob[328, 2]",0.003,0.005,0.0,0.01,0.0,0.0,1349.0,1869.0,1.0
"filtered_prob[329, 0]",0.108,0.106,0.0,0.31,0.003,0.004,1236.0,1609.0,1.0
"filtered_prob[329, 1]",0.287,0.263,0.001,0.842,0.017,0.011,338.0,579.0,1.0
"filtered_prob[329, 2]",0.605,0.262,0.053,0.932,0.015,0.01,456.0,495.0,1.0
"filtered_prob[330, 0]",0.501,0.187,0.153,0.833,0.005,0.002,1497.0,1759.0,1.0
"filtered_prob[330, 1]",0.363,0.171,0.066,0.679,0.005,0.003,1331.0,1936.0,1.0
"filtered_prob[330, 2]",0.136,0.128,0.0,0.373,0.004,0.003,1099.0,1638.0,1.0
"filtered_prob[331, 0]",0.077,0.064,0.0,0.197,0.001,0.001,1826.0,1761.0,1.0
"filtered_prob[331, 1]",0.792,0.126,0.556,0.981,0.005,0.003,848.0,1572.0,1.0
"filtered_prob[331, 2]",0.13,0.12,0.0,0.356,0.005,0.003,740.0,1616.0,1.0
"filtered_prob[332, 0]",0.161,0.109,0.008,0.369,0.003,0.003,1493.0,1914.0,1.0
"filtered_prob[332, 1]",0.681,0.137,0.424,0.918,0.004,0.003,1152.0,1513.0,1.0
"filtered_prob[332, 2]",0.158,0.128,0.0,0.389,0.003,0.002,1203.0,1607.0,1.0
"filtered_prob[333, 0]",0.869,0.115,0.653,1.0,0.003,0.003,1377.0,1865.0,1.0
"filtered_prob[333, 1]",0.123,0.114,0.0,0.34,0.003,0.003,1125.0,1766.0,1.0
"filtered_prob[333, 2]",0.008,0.017,0.0,0.034,0.001,0.001,955.0,854.0,1.0
"filtered_prob[334, 0]",0.077,0.082,0.0,0.234,0.002,0.003,1305.0,1781.0,1.0
"filtered_prob[334, 1]",0.305,0.245,0.0,0.815,0.016,0.01,306.0,620.0,1.0
"filtered_prob[334, 2]",0.619,0.245,0.092,0.959,0.015,0.01,365.0,558.0,1.0
"filtered_prob[335, 0]",0.07,0.084,0.0,0.224,0.002,0.003,1211.0,1697.0,1.0
"filtered_prob[335, 1]",0.287,0.223,0.0,0.701,0.01,0.005,462.0,1186.0,1.0
"filtered_prob[335, 2]",0.643,0.221,0.231,0.99,0.009,0.005,604.0,1219.0,1.0
"filtered_prob[336, 0]",0.07,0.061,0.0,0.184,0.002,0.002,1232.0,1712.0,1.0
"filtered_prob[336, 1]",0.324,0.195,0.01,0.679,0.009,0.005,507.0,1089.0,1.0
"filtered_prob[336, 2]",0.607,0.188,0.239,0.935,0.008,0.005,659.0,1085.0,1.0
"filtered_prob[337, 0]",0.225,0.136,0.013,0.472,0.004,0.002,1353.0,1910.0,1.0
"filtered_prob[337, 1]",0.477,0.18,0.142,0.807,0.005,0.003,1172.0,1715.0,1.0
"filtered_prob[337, 2]",0.299,0.179,0.0,0.598,0.005,0.002,1233.0,1769.0,1.0
"filtered_prob[338, 0]",0.979,0.035,0.926,1.0,0.001,0.003,1770.0,1382.0,1.0
"filtered_prob[338, 1]",0.019,0.035,0.0,0.07,0.001,0.003,1591.0,1742.0,1.0
"filtered_prob[338, 2]",0.002,0.006,0.0,0.006,0.0,0.001,768.0,670.0,1.0
"filtered_prob[339, 0]",0.782,0.143,0.517,0.983,0.004,0.003,1437.0,2055.0,1.0
"filtered_prob[339, 1]",0.169,0.127,0.012,0.417,0.004,0.003,1294.0,1910.0,1.0
"filtered_prob[339, 2]",0.049,0.066,0.0,0.17,0.002,0.002,1188.0,1584.0,1.0
"filtered_prob[340, 0]",0.144,0.122,0.0,0.376,0.004,0.004,1227.0,1444.0,1.0
"filtered_prob[340, 1]",0.389,0.254,0.051,0.876,0.013,0.006,494.0,1173.0,1.0
"filtered_prob[340, 2]",0.467,0.246,0.0,0.797,0.011,0.005,526.0,1092.0,1.0
"filtered_prob[341, 0]",0.326,0.169,0.031,0.624,0.004,0.003,1452.0,1926.0,1.0
"filtered_prob[341, 1]",0.48,0.191,0.145,0.838,0.006,0.003,1085.0,1398.0,1.0
"filtered_prob[341, 2]",0.193,0.158,0.0,0.475,0.005,0.002,1008.0,1669.0,1.0
"filtered_prob[342, 0]",0.166,0.102,0.018,0.354,0.003,0.002,1341.0,1673.0,1.0
"filtered_prob[342, 1]",0.466,0.182,0.142,0.792,0.007,0.003,682.0,1336.0,1.0
"filtered_prob[342, 2]",0.368,0.164,0.05,0.634,0.007,0.003,666.0,1194.0,1.0
"filtered_prob[343, 0]",0.055,0.058,0.0,0.159,0.002,0.002,1238.0,1521.0,1.0
"filtered_prob[343, 1]",0.35,0.217,0.0,0.738,0.011,0.005,395.0,1091.0,1.0
"filtered_prob[343, 2]",0.595,0.211,0.194,0.955,0.011,0.005,454.0,1039.0,1.0
"filtered_prob[344, 0]",0.419,0.182,0.082,0.737,0.004,0.002,1716.0,2181.0,1.0
"filtered_prob[344, 1]",0.434,0.173,0.124,0.755,0.004,0.003,1833.0,1817.0,1.0
"filtered_prob[344, 2]",0.147,0.131,0.0,0.382,0.003,0.002,1227.0,1726.0,1.0
"filtered_prob[345, 0]",0.569,0.196,0.203,0.899,0.005,0.002,1777.0,2119.0,1.0
"filtered_prob[345, 1]",0.364,0.183,0.047,0.695,0.004,0.002,1798.0,2248.0,1.0
"filtered_prob[345, 2]",0.067,0.081,0.0,0.217,0.002,0.002,1232.0,1489.0,1.0
"filtered_prob[346, 0]",0.101,0.093,0.0,0.273,0.003,0.003,1299.0,1503.0,1.0
"filtered_prob[346, 1]",0.447,0.222,0.097,0.865,0.01,0.004,527.0,1244.0,1.0
"filtered_prob[346, 2]",0.453,0.214,0.008,0.756,0.009,0.004,558.0,1079.0,1.0
"filtered_prob[347, 0]",0.982,0.031,0.938,1.0,0.001,0.002,1740.0,1468.0,1.0
"filtered_prob[347, 1]",0.017,0.031,0.0,0.061,0.001,0.002,1606.0,1460.0,1.0
"filtered_prob[347, 2]",0.001,0.004,0.0,0.004,0.0,0.001,914.0,1093.0,1.0
"filtered_prob[348, 0]",0.902,0.081,0.758,0.998,0.002,0.002,1612.0,1889.0,1.0
"filtered_prob[348, 1]",0.081,0.074,0.001,0.214,0.002,0.002,1689.0,2018.0,1.0
"filtered_prob[348, 2]",0.017,0.027,0.0,0.062,0.001,0.001,1288.0,1696.0,1.0
"filtered_prob[349, 0]",0.981,0.026,0.94,1.0,0.001,0.001,1822.0,1444.0,1.0
"filtered_prob[349, 1]",0.017,0.026,0.0,0.057,0.001,0.001,1952.0,1639.0,1.0
"filtered_prob[349, 2]",0.002,0.004,0.0,0.007,0.0,0.0,1348.0,1690.0,1.0
"filtered_prob[350, 0]",0.405,0.203,0.062,0.781,0.006,0.003,1281.0,1503.0,1.0
"filtered_prob[350, 1]",0.36,0.225,0.025,0.772,0.009,0.004,691.0,1484.0,1.0
"filtered_prob[350, 2]",0.235,0.2,0.0,0.597,0.007,0.003,739.0,1433.0,1.0
"filtered_prob[351, 0]",0.101,0.094,0.0,0.279,0.003,0.003,1220.0,1322.0,1.0
"filtered_prob[351, 1]",0.405,0.246,0.058,0.874,0.012,0.005,497.0,1338.0,1.0
"filtered_prob[351, 2]",0.494,0.238,0.034,0.83,0.011,0.005,510.0,1161.0,1.0
"filtered_prob[352, 0]",0.118,0.152,0.0,0.427,0.004,0.005,1163.0,1750.0,1.0
"filtered_prob[352, 1]",0.345,0.26,0.0,0.811,0.008,0.003,814.0,1293.0,1.0
"filtered_prob[352, 2]",0.537,0.257,0.108,0.983,0.007,0.003,1383.0,1845.0,1.0
"filtered_prob[353, 0]",0.854,0.135,0.603,0.999,0.003,0.003,1702.0,1391.0,1.0
"filtered_prob[353, 1]",0.125,0.127,0.0,0.371,0.003,0.003,1861.0,1739.0,1.0
"filtered_prob[353, 2]",0.021,0.049,0.0,0.081,0.002,0.004,810.0,773.0,1.0
"filtered_prob[354, 0]",0.35,0.195,0.021,0.7,0.005,0.003,1283.0,1595.0,1.0
"filtered_prob[354, 1]",0.422,0.206,0.104,0.82,0.007,0.003,804.0,1456.0,1.0
"filtered_prob[354, 2]",0.228,0.178,0.0,0.543,0.006,0.002,891.0,1522.0,1.0
"filtered_prob[355, 0]",0.974,0.04,0.909,1.0,0.001,0.002,1768.0,1474.0,1.0
"filtered_prob[355, 1]",0.024,0.04,0.0,0.089,0.001,0.002,1674.0,1561.0,1.0
"filtered_prob[355, 2]",0.002,0.005,0.0,0.007,0.0,0.001,1095.0,1250.0,1.0
"filtered_prob[356, 0]",0.105,0.101,0.0,0.302,0.003,0.004,1250.0,1333.0,1.0
"filtered_prob[356, 1]",0.302,0.269,0.006,0.866,0.016,0.011,375.0,643.0,1.0
"filtered_prob[356, 2]",0.593,0.268,0.035,0.917,0.015,0.01,472.0,606.0,1.0
"filtered_prob[357, 0]",0.305,0.165,0.035,0.61,0.004,0.003,1422.0,1800.0,1.0
